"UNITID","Students","Demographic"
130776,2599,"women"
130794,7675,"men"
130794,9109,"women"
130837,3,"men"
130837,41,"women"
130873,206,"men"
130873,415,"women"
130907,5290,"men"
130907,11209,"women"
130934,2246,"men"
130934,4266,"women"
130943,11345,"men"
130943,15572,"women"
130989,628,"men"
130989,683,"women"
131061,12,"men"
131061,274,"women"
131113,7686,"men"
131113,11873,"women"
131159,5628,"men"
131159,9560,"women"
131283,2658,"men"
131283,2960,"women"
131399,1764,"men"
131399,3370,"women"
131405,68,"men"
131405,18,"women"
131450,594,"men"
131450,916,"women"
131469,10973,"men"
131469,17756,"women"
131496,10180,"men"
131496,12464,"women"
131520,4425,"men"
131520,10206,"women"
131803,114,"men"
131803,378,"women"
131830,14,"men"
131830,17,"women"
131876,146,"men"
131876,2011,"women"
131973,298,"men"
131973,239,"women"
132374,3801,"men"
132374,888,"women"
132408,308,"men"
132408,271,"women"
132471,2693,"men"
132471,5301,"women"
132602,1032,"men"
132602,1720,"women"
132657,1901,"men"
132657,2256,"women"
132675,108,"men"
132675,53,"women"
132693,7435,"men"
132693,10702,"women"
132709,18323,"men"
132709,27337,"women"
132842,151,"men"
132842,974,"women"
132851,3015,"men"
132851,5084,"women"
132903,35998,"men"
132903,44757,"women"
132976,309,"men"
132976,251,"women"
133021,991,"men"
133021,1503,"women"
133155,482,"men"
133155,558,"women"
133386,7034,"men"
133386,10527,"women"
133465,180,"men"
133465,628,"women"
133492,590,"men"
133492,1414,"women"
133508,6872,"men"
133508,11931,"women"
133526,678,"men"
133526,641,"women"
133553,8424,"men"
133553,3488,"women"
133650,3501,"men"
133650,6917,"women"
133669,16181,"men"
133669,21628,"women"
133702,11782,"men"
133702,20274,"women"
133711,832,"men"
133711,1744,"women"
133809,334,"men"
133809,364,"women"
133845,84,"men"
133845,663,"women"
133854,64,"men"
133854,420,"women"
133863,74,"men"
133863,460,"women"
133872,478,"men"
133872,1983,"women"
133881,4547,"men"
133881,6029,"women"
133951,28967,"men"
133951,38114,"women"
133960,716,"men"
133960,885,"women"
133979,739,"men"
133979,876,"women"
134024,36,"men"
134024,108,"women"
134079,1269,"men"
134079,2209,"women"
134097,19384,"men"
134097,26954,"women"
134130,26805,"men"
134130,35131,"women"
134228,14,"men"
134228,27,"women"
134237,25145,"men"
134237,11987,"women"
134291,712,"men"
134291,172,"women"
134307,1309,"men"
134307,107,"women"
134343,2342,"men"
134343,4182,"women"
134495,16108,"men"
134495,23654,"women"
134510,117,"men"
134510,101,"women"
134529,64,"men"
134529,457,"women"
134574,29,"men"
134574,190,"women"
134608,8278,"men"
134608,12258,"women"
134714,39,"men"
134714,255,"women"
134945,2129,"men"
134945,4392,"women"
135081,10097,"men"
135081,24202,"women"
135142,1,"men"
135142,410,"women"
135160,1351,"men"
135160,2670,"women"
135179,684,"men"
135179,579,"women"
135188,2458,"men"
135188,4099,"women"
135267,852,"men"
135267,345,"women"
135276,1096,"men"
135276,728,"women"
135294,599,"men"
135294,335,"women"
135337,12,"men"
135337,113,"women"
135364,543,"men"
135364,248,"women"
135391,4221,"men"
135391,7187,"women"
135407,983,"men"
135407,721,"women"
135522,419,"men"
135522,292,"women"
135559,41,"men"
135559,149,"women"
135647,1012,"men"
135647,554,"women"
135717,35914,"men"
135717,48344,"women"
135726,9957,"men"
135726,12442,"women"
135735,2318,"men"
135735,730,"women"
136109,8,"men"
136109,164,"women"
136145,586,"men"
136145,1234,"women"
136172,7886,"men"
136172,11789,"women"
136215,6630,"men"
136215,16945,"women"
136233,2942,"men"
136233,4218,"women"
136303,130,"men"
136303,1111,"women"
136330,1703,"men"
136330,2863,"women"
136358,13659,"men"
136358,21261,"women"
136400,4907,"men"
136400,7543,"women"
136473,4177,"men"
136473,7501,"women"
136491,1311,"men"
136491,656,"women"
136516,5025,"men"
136516,8719,"women"
136659,397,"men"
136659,92,"women"
136701,147,"men"
136701,2,"women"
136765,398,"men"
136765,363,"women"
136774,451,"men"
136774,1291,"women"
136826,800,"men"
136826,514,"women"
136950,1297,"men"
136950,1900,"women"
137023,404,"men"
137023,369,"women"
137032,5656,"men"
137032,7636,"women"
137078,12456,"men"
137078,19064,"women"
137087,1059,"men"
137087,1031,"women"
137096,7867,"men"
137096,9565,"women"
137120,1325,"men"
137120,681,"women"
137209,8716,"men"
137209,11615,"women"
137245,1272,"men"
137245,1265,"women"
137272,67,"men"
137272,3,"women"
137281,3412,"men"
137281,5828,"women"
137315,1442,"men"
137315,2622,"women"
137351,23704,"men"
137351,32907,"women"
137476,3119,"men"
137476,4804,"women"
137546,1672,"men"
137546,2307,"women"
137564,5329,"men"
137564,7529,"women"
137591,107,"men"
137591,426,"women"
137713,250,"men"
137713,220,"women"
137759,7060,"men"
137759,9439,"women"
137777,30,"men"
137777,0,"women"
137847,4991,"men"
137847,7060,"women"
137856,178,"men"
137856,106,"women"
137865,358,"men"
137865,251,"women"
137953,286,"men"
137953,200,"women"
137962,119,"men"
137962,125,"women"
138187,25940,"men"
138187,37169,"women"
