"unitid","Year","Weapon Possession (Discipline)","Drug Law Violation","Liquor Law Violation"
"177126","2023",0,0,0
"177144","2023",0,7,2
"177278","2023",0,0,0
"177302","2023",0,0,0
"177418","2023",0,0,12
"177436","2023",0,0,1
"177542","2023",0,1,0
"177551","2023",0,9,10
"177588","2023",0,0,0
"177603","2023",0,0,0
"177685","2023",0,0,0
"177746","2023",0,1,1
"177931","2023",0,0,0
"177968","2023",0,43,109
"177986","2023",0,0,0
"178059","2023",0,5,13
"178077","2023",0,0,0
"178183","2023",0,0,0
"178208","2023",0,0,0
"178217","2023",0,0,12
"178244","2023",0,2,7
"178341","2023",0,9,19
"178387","2023",0,21,18
"178518","2023",0,0,0
"178527","2023",0,0,0
"178679","2023",0,0,0
"178697","2023",0,0,0
"178767","2023",0,0,0
"178828","2023",0,0,0
"178989","2023",0,0,0
"179043","2023",0,7,27
"179195","2023",0,0,0
"179265","2023",0,1,34
"179511","2023",0,0,0
"179539","2023",0,0,16
