UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
141121,1,999,"Z",0,"Z",0,"R",100,"R",627,"R",1,"R",1,"Z",0,"R",1,"R",5,"R",6,"R",258,"R",552,"Z",0,"R",4,"R",364,"R",1191,"Z",0,"R",727,"R",2,"R",1,"R",11,"R",810,"R",4,"R",1555
141121,2,  1,"Z",0,"Z",0,"R",100,"R",627,"R",1,"R",1,"Z",0,"R",1,"R",5,"R",6,"R",258,"R",552,"Z",0,"R",4,"R",364,"R",1191,"Z",0,"R",727,"R",2,"R",1,"R",11,"R",810,"R",4,"R",1555
141158,1,999,"R",2,"R",1,"R",251,"R",1024,"R",7,"R",11,"R",5,"R",5,"R",6,"R",17,"R",473,"R",957,"R",2,"R",8,"R",746,"R",2023,"R",3,"R",1275,"R",18,"R",10,"R",23,"R",1430,"R",10,"R",2769
141158,2,  1,"R",2,"R",1,"R",251,"R",1024,"R",7,"R",11,"R",5,"R",5,"R",6,"R",17,"R",473,"R",957,"R",2,"R",8,"R",746,"R",2023,"R",3,"R",1275,"R",18,"R",10,"R",23,"R",1430,"R",10,"R",2769
141167,1,999,"R",24,"R",26,"R",80,"R",314,"R",1,"R",3,"R",6,"R",6,"R",6,"R",7,"R",160,"R",299,"R",18,"R",32,"R",295,"R",687,"R",50,"R",394,"R",4,"R",12,"R",13,"R",459,"R",50,"R",982
141167,2,  1,"R",24,"R",26,"R",58,"R",275,"R",1,"R",3,"R",5,"R",6,"R",6,"R",7,"R",136,"R",251,"R",18,"R",32,"R",248,"R",600,"R",50,"R",333,"R",4,"R",11,"R",13,"R",387,"R",50,"R",848
141167,4,  3,"Z",0,"Z",0,"R",22,"R",39,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",24,"R",48,"Z",0,"Z",0,"R",47,"R",87,"Z",0,"R",61,"Z",0,"R",1,"Z",0,"R",72,"Z",0,"R",134
141185,1,999,"R",7,"R",10,"R",16,"R",12,"Z",0,"R",2,"R",31,"R",18,"R",6,"R",11,"R",340,"R",458,"R",1,"R",1,"R",401,"R",512,"R",17,"R",28,"R",2,"R",49,"R",17,"R",798,"R",2,"R",913
141185,2,  1,"R",7,"R",10,"R",16,"R",12,"Z",0,"R",2,"R",31,"R",18,"R",6,"R",11,"R",340,"R",458,"R",1,"R",1,"R",401,"R",512,"R",17,"R",28,"R",2,"R",49,"R",17,"R",798,"R",2,"R",913
141228,1,999,"Z",0,"Z",0,"R",429,"R",1027,"R",3,"R",4,"R",5,"R",12,"R",7,"R",12,"R",909,"R",1027,"R",3,"R",6,"R",1356,"R",2088,"Z",0,"R",1456,"R",7,"R",17,"R",19,"R",1936,"R",9,"R",3444
141228,2,  1,"Z",0,"Z",0,"R",429,"R",1027,"R",3,"R",4,"R",5,"R",12,"R",7,"R",12,"R",909,"R",1027,"R",3,"R",6,"R",1356,"R",2088,"Z",0,"R",1456,"R",7,"R",17,"R",19,"R",1936,"R",9,"R",3444
141237,1,999,"Z",0,"Z",0,"R",27,"R",19,"Z",0,"R",1,"R",4,"R",2,"R",5,"R",1,"R",183,"R",157,"R",7,"R",3,"R",226,"R",183,"Z",0,"R",46,"R",1,"R",6,"R",6,"R",340,"R",10,"R",409
141237,2,  1,"Z",0,"Z",0,"R",27,"R",19,"Z",0,"R",1,"R",4,"R",2,"R",5,"R",1,"R",183,"R",157,"R",7,"R",3,"R",226,"R",183,"Z",0,"R",46,"R",1,"R",6,"R",6,"R",340,"R",10,"R",409
141255,1,999,"R",1,"Z",0,"R",477,"R",1336,"R",6,"R",15,"R",11,"R",23,"R",24,"R",55,"R",1017,"R",1532,"R",20,"R",30,"R",1556,"R",2991,"R",1,"R",1813,"R",21,"R",34,"R",79,"R",2549,"R",50,"R",4547
141255,2,  1,"R",1,"Z",0,"R",477,"R",1336,"R",6,"R",15,"R",11,"R",23,"R",24,"R",55,"R",1017,"R",1532,"R",20,"R",30,"R",1556,"R",2991,"R",1,"R",1813,"R",21,"R",34,"R",79,"R",2549,"R",50,"R",4547
141264,1,999,"R",67,"R",109,"R",869,"R",1668,"R",18,"R",18,"R",61,"R",73,"R",79,"R",106,"R",3696,"R",5731,"Z",0,"Z",0,"R",4790,"R",7705,"R",176,"R",2537,"R",36,"R",134,"R",185,"R",9427,"Z",0,"R",12495
141264,2,  1,"R",60,"R",79,"R",815,"R",1444,"R",13,"R",16,"R",56,"R",65,"R",75,"R",96,"R",3289,"R",4387,"Z",0,"Z",0,"R",4308,"R",6087,"R",139,"R",2259,"R",29,"R",121,"R",171,"R",7676,"Z",0,"R",10395
141264,4,  3,"R",7,"R",30,"R",54,"R",224,"R",5,"R",2,"R",5,"R",8,"R",4,"R",10,"R",407,"R",1344,"Z",0,"Z",0,"R",482,"R",1618,"R",37,"R",278,"R",7,"R",13,"R",14,"R",1751,"Z",0,"R",2100
141273,1,999,"Z",0,"Z",0,"R",41,"R",123,"R",6,"R",11,"R",7,"R",13,"R",18,"R",15,"R",1054,"R",2324,"R",12,"R",25,"R",1138,"R",2511,"Z",0,"R",164,"R",17,"R",20,"R",33,"R",3378,"R",37,"R",3649
141273,2,  1,"Z",0,"Z",0,"R",41,"R",123,"R",6,"R",11,"R",7,"R",13,"R",18,"R",15,"R",1054,"R",2324,"R",12,"R",25,"R",1138,"R",2511,"Z",0,"R",164,"R",17,"R",20,"R",33,"R",3378,"R",37,"R",3649
141307,1,999,"Z",0,"R",3,"R",106,"R",247,"R",1,"R",3,"R",9,"R",16,"R",2,"R",9,"R",338,"R",733,"Z",0,"Z",0,"R",456,"R",1011,"R",3,"R",353,"R",4,"R",25,"R",11,"R",1071,"Z",0,"R",1467
141307,2,  1,"Z",0,"R",3,"R",106,"R",247,"R",1,"R",3,"R",9,"R",16,"R",2,"R",9,"R",338,"R",733,"Z",0,"Z",0,"R",456,"R",1011,"R",3,"R",353,"R",4,"R",25,"R",11,"R",1071,"Z",0,"R",1467
