unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
101453,2,1,"R",19,"R",1,"R",19,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",132,"R",24,"R",1,"R",1,"R",174,"R",30,"R",20,"R",23,"Z",0,"Z",0,"R",3,"R",156,"R",2,"R",204
101453,4,3,"R",3,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"Z",0,"Z",0,"Z",0,"R",18,"Z",0,"R",3,"R",2,"Z",0,"Z",0,"Z",0,"R",13,"Z",0,"R",18
101462,1,999,"Z",0,"Z",0,"R",238,"R",308,"R",3,"Z",0,"R",4,"R",1,"R",5,"R",3,"R",323,"R",158,"R",7,"R",9,"R",580,"R",479,"Z",0,"R",546,"R",3,"R",5,"R",8,"R",481,"R",16,"R",1059
101462,2,1,"Z",0,"Z",0,"R",238,"R",308,"R",3,"Z",0,"R",4,"R",1,"R",5,"R",3,"R",323,"R",158,"R",7,"R",9,"R",580,"R",479,"Z",0,"R",546,"R",3,"R",5,"R",8,"R",481,"R",16,"R",1059
101471,1,999,"Z",0,"Z",0,"R",510,"R",102,"R",10,"R",3,"R",4,"R",1,"R",16,"R",2,"R",215,"R",148,"R",1,"Z",0,"R",756,"R",256,"Z",0,"R",612,"R",13,"R",5,"R",18,"R",363,"R",1,"R",1012
101471,2,1,"R",0,"R",0,"R",510,"R",102,"R",10,"R",3,"R",4,"R",1,"R",16,"R",2,"R",215,"R",148,"R",1,"R",0,"R",756,"R",256,"Z",0,"R",612,"R",13,"R",5,"R",18,"R",363,"R",1,"R",1012
101480,1,999,"R",157,"R",127,"R",807,"R",1283,"R",30,"R",42,"R",20,"R",29,"R",30,"R",54,"R",2938,"R",4328,"R",34,"R",60,"R",4016,"R",5923,"R",284,"R",2090,"R",72,"R",49,"R",84,"R",7266,"R",94,"R",9939
101480,2,1,"R",121,"R",99,"R",651,"R",883,"R",25,"R",38,"R",19,"R",24,"R",25,"R",42,"R",2391,"R",3202,"R",31,"R",51,"R",3263,"R",4339,"R",220,"R",1534,"R",63,"R",43,"R",67,"R",5593,"R",82,"R",7602
101480,4,3,"R",36,"R",28,"R",156,"R",400,"R",5,"R",4,"R",1,"R",5,"R",5,"R",12,"R",547,"R",1126,"R",3,"R",9,"R",753,"R",1584,"R",64,"R",556,"R",9,"R",6,"R",17,"R",1673,"R",12,"R",2337
101499,1,999,"Z",0,"Z",0,"R",461,"R",214,"R",9,"R",22,"R",6,"R",3,"R",12,"R",5,"R",478,"R",577,"R",11,"R",9,"R",977,"R",830,"Z",0,"R",675,"R",31,"R",9,"R",17,"R",1055,"R",20,"R",1807
101499,2,1,"R",0,"R",0,"R",461,"R",214,"R",9,"R",22,"R",6,"R",3,"R",12,"R",5,"R",478,"R",577,"R",11,"R",9,"R",977,"R",830,"Z",0,"R",675,"R",31,"R",9,"R",17,"R",1055,"R",20,"R",1807
101505,1,999,"R",213,"R",149,"R",555,"R",1452,"R",11,"R",19,"R",34,"R",74,"R",31,"R",42,"R",3287,"R",4397,"R",15,"R",37,"R",4146,"R",6170,"R",362,"R",2007,"R",30,"R",108,"R",73,"R",7684,"R",52,"R",10316
101505,2,1,"R",213,"R",149,"R",555,"R",1452,"R",11,"R",19,"R",34,"R",74,"R",31,"R",42,"R",3287,"R",4397,"R",15,"R",37,"R",4146,"R",6170,"R",362,"R",2007,"R",30,"R",108,"R",73,"R",7684,"R",52,"R",10316
101514,1,999,"Z",0,"Z",0,"R",1110,"R",1639,"R",153,"R",221,"R",85,"R",117,"R",87,"R",84,"R",4030,"R",5142,"R",76,"R",76,"R",5541,"R",7279,"Z",0,"R",2749,"R",374,"R",202,"R",171,"R",9172,"R",152,"R",12820
